Year,Industry,Average Call Duration (min),Hold Time (sec),Abandonment Rate (%),ASA (sec),ACW (sec),Sentiment Score,CSAT (%),Churn Rate (%),First Call Resolution (FCR %),Average Waiting Time (AWT sec),Average Handle Time (AHT min),Call Transfer Rate (%)
2023,Technology,3.44,5.46,9.69,6.16,88.8,0.08,91.61,10.28,81.95,41.87,10.51,3.81
2022,Healthcare,4.02,4.52,6.82,6.4,65.6,0.53,71.87,7.41,72.24,54.57,8.24,6.89
2022,Retail,5.0,6.4,6.59,9.97,68.43,0.36,71.89,11.02,77.25,42.55,5.88,7.92
2023,Transportation,3.55,3.69,6.58,10.02,89.5,0.93,80.8,14.69,83.79,55.74,7.09,3.89
2024,Transportation,3.29,5.85,6.09,13.53,83.49,0.69,95.38,11.64,77.11,35.7,5.23,8.06
2022,Healthcare,4.54,3.63,9.43,10.76,84.58,0.39,80.28,10.19,90.12,28.09,8.31,4.93
2024,Finance,5.23,5.0,6.88,7.56,43.74,0.22,70.4,9.73,72.44,46.5,5.58,3.73
2023,Retail,3.78,4.12,5.91,8.84,52.35,0.89,74.03,13.51,83.74,36.95,9.97,9.03
2021,Transportation,6.86,6.94,5.62,5.62,87.67,0.96,71.84,8.93,80.25,21.09,9.07,2.05
2021,Healthcare,7.0,4.77,8.03,12.69,44.75,0.92,97.09,13.04,93.79,41.79,9.82,1.48
2021,Retail,4.47,3.82,8.79,9.48,73.2,0.52,91.85,6.8,86.91,27.54,9.68,2.75
2021,Finance,6.19,3.26,6.47,12.13,75.65,0.6,72.83,8.79,73.93,59.13,7.44,4.38
2021,Technology,3.16,5.12,5.25,6.3,68.64,0.09,71.94,6.29,92.16,50.13,5.47,5.15
2024,Telecommunications,3.48,3.15,5.07,13.83,46.01,0.67,87.86,11.64,86.9,54.07,7.97,5.06
2023,Retail,5.72,5.19,5.74,8.31,67.13,0.95,77.59,12.51,81.79,34.69,8.59,8.39
2021,Retail,3.94,3.77,9.58,12.51,59.25,0.15,71.47,11.56,81.6,24.49,8.44,3.47
2024,Telecommunications,5.57,3.51,9.97,13.54,85.27,0.87,97.07,9.9,71.43,50.29,10.85,5.07
2024,Transportation,3.49,3.1,9.26,9.41,82.7,0.02,74.02,11.22,75.86,50.09,5.09,7.68
2021,Retail,6.16,6.28,8.31,11.95,65.08,0.93,98.92,13.87,90.56,24.55,7.44,7.48
2021,Transportation,5.0,6.41,9.71,9.11,46.61,0.77,87.21,13.2,83.81,25.13,9.1,4.81
2022,Transportation,6.5,5.6,6.75,9.94,54.83,0.47,84.85,7.82,86.33,38.81,7.21,4.25
2021,Retail,5.31,6.24,6.71,5.47,37.7,0.19,88.38,8.81,89.07,50.44,11.52,6.86
2024,Transportation,4.09,3.12,9.93,7.03,32.67,0.51,96.63,13.89,81.64,45.54,11.3,7.95
2023,Retail,5.18,5.47,8.81,12.63,71.56,0.07,70.26,6.85,81.57,59.87,10.62,3.99
2024,Healthcare,3.29,6.25,6.23,10.0,39.93,0.71,81.76,11.43,75.88,27.71,7.97,9.34
